trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100019.53480002673,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99808.94706494661,210.58773508011654,0.2105466052218234
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,99999.9057747157,19.629025311020087,0.019625191569092204
4,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100138.21982036915,0.0,0.0
5,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100388.31818557868,0.0,0.0
6,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100532.3909850062,0.0,0.0
7,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,100771.2049666652,0.0,0.0
8,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100912.2993257695,0.0,0.0
9,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,101065.77658376719,0.0,0.0
10,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,101437.91850082543,0.0,0.0
11,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,101578.92389229687,0.0,0.0
12,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,101716.92033410148,0.0,0.0
13,2023-08-16 16:30:00+00:00,2023-08-16 18:07:00+00:00,100519.9656877416,1196.9546463598817,1.176750773055594
14,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,100666.1100623239,1050.8102717775764,1.0330732274690027
15,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,100332.64594320394,1384.274390897539,1.3609086731595126
16,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,100498.17225311074,1218.748080990743,1.1981763476397223
17,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,101306.64061999315,410.27971410832833,0.4033544397143712
